"text-decoration-none href","rounded src","job-title","text-muted","mt-1","mt-1 2","badge","badge 2","badge 3"
"https://jobsgo.vn/viec-lam/retail-strategy-planner-marketing-agency-28-trieu-gross-binh-thanh-hcm-27998-26422507044.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/1113-200x200.jpg?v=1748313639","Retail Strategy Planner (Marketing Agency) - 28 triệu gross [Bình Thạnh, HCM] (27998)","Công Ty TNHH Reeracoen Việt Nam","22 - 28 triệu VNĐ","Hồ Chí Minh","Full-time","2 - 5 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-business-analyst-lam-viec-tu-thu-hai-thu-sau-26445143237.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/89492-200x200.jpg?v=1739951062","Chuyên Viên Phân Tích Nghiệp Vụ - Business Analyst - Làm Việc Từ Thứ Hai - Thứ Sáu","JobsGO Recruit","Thỏa thuận","Hồ Chí Minh","Full-time","Trên 1 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/ky-su-du-an-tieng-anh-n-26532252522.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/6540-200x200.jpg?v=1733132892","Kỹ Sư Dự Án - Tiếng Anh (N)","Công Ty Cổ Phần Kết Nối Nhân Lực Worklink Việt Nam","Đến 20 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 5 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/ky-su-cong-nghe-tieng-anh-nhat-binh-thanh-26657247217.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/6540-200x200.jpg?v=1733132892","Kỹ Sư Công Nghệ - Tiếng Anh/Nhật - Bình Thạnh","Công Ty Cổ Phần Kết Nối Nhân Lực Worklink Việt Nam","15 - 18 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 5 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/nhan-vien-lap-trinh-web-web-developer-26681988155.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/136900-200x200.jpg?v=1776408322","Nhân Viên Lập Trình Web (Web Developer)","Công Ty TNHH Phát Triển Dịch Vụ Công Nghệ Hưng Phát","Thỏa thuận","Hồ Chí Minh","Full-time","1 - 2 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/nhan-vien-tu-van-ban-hang-tan-binh-tan-phu-26168959956.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/30859-200x200.jpg?v=1772702368","Nhân Viên Tư Vấn Bán Hàng (Tân Bình/ Tân Phú)","Công ty TNHH Tin Học Ngôi Sao Lớn","Từ 20 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 2 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/ky-thuat-vien-may-in-may-photocopy-26250746273.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/95337-200x200.jpg?v=1666343028","Kỹ Thuật Viên Máy In/Máy Photocopy","Công Ty TNHH SMYOU","Đến 8 triệu VNĐ","Hồ Chí Minh","Full-time","1 - 5 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/chuyen-vien-crm-26279601648.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/9347-200x200.jpg?v=1711521940","Chuyên Viên CRM","The Adora","Thỏa thuận","Hồ Chí Minh","Full-time","1 - 2 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-hcm-26296670451.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/358622-200x200.jpg?v=1759829013","Nhân Viên Kinh Doanh (HCM)","Công ty Cổ phần Giải pháp Hệ thống Long Vân","6 - 8 triệu VNĐ","Hồ Chí Minh, Hà Nội","Full-time","Dưới 1 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-may-lanh-26505488313.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/108431-200x200.jpg?v=1679557578","Nhân Viên Kinh Doanh Máy Lạnh","Công Ty Cổ Phần Tu-Seiki","14 - 18 triệu VNĐ","Hồ Chí Minh","Full-time","1 - 2 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-mang-vlxd-26548886797.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/62591-200x200.jpg?v=1621329566","Nhân Viên Kinh Doanh Mảng VLXD","Công ty TNHH Pentacom Việt Nam","8 - 20 triệu VNĐ","Hồ Chí Minh, Hà Nội","Full-time","Dưới 3 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/sales-staff-it-field-tieng-nhat-26551344596.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/98275-200x200.jpg?v=1768547435","Sales Staff (IT Field) Tiếng Nhật","Công Ty TNHH Giải Pháp Nhân Sự Global Door","12 - 20 triệu VNĐ","Hồ Chí Minh","Full-time","1 - 5 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/nhan-vien-tu-van-phan-mem-website-quan-12-26680548781.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/89492-200x200.jpg?v=1739951062","Nhân Viên Tư Vấn Phần Mềm Website (Quận 12)","JobsGO Recruit","7 - 30 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 0.5 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/business-analyst-sap-tieng-anh-giao-tiep-mscv-82-9-26727586437.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/54406-200x200.jpg?v=1768209965","Business Analyst (SAP) (Tiếng Anh giao tiếp) - MSCV 82-9","Công Ty TNHH Quick Việt Nam","15 - 20 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 2 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/nhan-vien-tu-van-phan-mem-website-quan-12-26766218692.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/89492-200x200.jpg?v=1739951062","Nhân Viên Tư Vấn Phần Mềm Website (Quận 12)","JobsGO Recruit","7 - 30 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 0.5 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-sales-hcm-binh-duong-26355290994.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/89492-200x200.jpg?v=1739951062","Nhân Viên Kinh Doanh/Sales (HCM, Bình Dương)","JobsGO Recruit","20 - 25 triệu VNĐ","Bình Dương, Hồ Chí Minh","Full-time","Trên 1 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/ses-sales-tieng-nhat-n1-it-welcome-fresher-26961-binh-thanh-hcm-26570219406.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/1113-200x200.jpg?v=1748313639","Ses Sales (Tiếng Nhật N1 / IT / Welcome Fresher) (26961) [Bình Thạnh , HCM]","Công Ty TNHH Reeracoen Việt Nam","15 - 25 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","3 giờ trước"
"https://jobsgo.vn/viec-lam/brse-cum-pm-software-can-tieng-nhat-n2-upto-75-trieu-28050-binh-thanh-hcm-26591606331.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/1113-200x200.jpg?v=1748313639","BrSE cum PM (software) , Cần tiếng Nhật N2, Upto 75 triệu (28050) [Bình Thạnh - HCM]","Công Ty TNHH Reeracoen Việt Nam","55 - 75 triệu VNĐ","Hồ Chí Minh","Full-time","10 - 22 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/service-engineer-tieng-nhat-anh-thu-duc-26641875789.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/6540-200x200.jpg?v=1733132892","Service Engineer - Tiếng Nhật / Anh - Thủ Đức","Công Ty Cổ Phần Kết Nối Nhân Lực Worklink Việt Nam","15 - 18 triệu VNĐ","Hồ Chí Minh","Full-time","1 - 3 năm","3 giờ trước"
"https://jobsgo.vn/viec-lam/tuyen-thuc-tap-sinh-quan-tri-kinh-doanh-co-moc-ho-tro-luong-khi-lam-du-2-thang-26673840755.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/482735-200x200.jpg?v=1776065485","Tuyển Thực Tập Sinh Quản Trị Kinh Doanh, Có Mộc, Hỗ Trợ Lương Khi Làm Đủ 2 Tháng","Công Ty TNHH Công Nghệ Phần Mềm Nasani","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","3 giờ trước"
"https://jobsgo.vn/viec-lam/nhan-vien-ky-thuat-it-26119043552.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/116148-200x200.jpg?v=1694138862","Nhân Viên Kỹ Thuật IT","Công Ty TNHH Công Nghệ DNIC","7 - 15 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","4 giờ trước"
"https://jobsgo.vn/viec-lam/nhan-vien-phien-dich-phong-it-tieng-nhat-thu-duc-26451050102.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/6540-200x200.jpg?v=1733132892","Nhân Viên Phiên Dịch Phòng IT - Tiếng Nhật - Thủ Đức","Công Ty Cổ Phần Kết Nối Nhân Lực Worklink Việt Nam","Đến 20 triệu VNĐ","Hồ Chí Minh","Full-time","1 - 1 năm","4 giờ trước"
"https://jobsgo.vn/viec-lam/sales-engineer-ky-su-kinh-doanh-dien-tu-dong-hoa-26574741213.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/133234-200x200.jpg?v=1697702619","Sales Engineer – Kỹ Sư Kinh Doanh Điện Tự Động Hóa","Công Ty TNHH Công Nghệ Thiên Hổ","20 - 50 triệu VNĐ","Bắc Ninh, Hồ Chí Minh","Full-time","2 - 3 năm","4 giờ trước"
"https://jobsgo.vn/viec-lam/sale-horeca-quan-1-ho-chi-minh-m-26445211132.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/6540-200x200.jpg?v=1733132892","Sale Horeca - Quận 1 - Hồ Chí Minh (M)","Công Ty Cổ Phần Kết Nối Nhân Lực Worklink Việt Nam","12 - 15 triệu VNĐ","Hồ Chí Minh","Full-time","1 - 5 năm","4 giờ trước"
"https://jobsgo.vn/viec-lam/subleader-aspnet-c-mvc-26750127577.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/992-200x200.jpg?v=1688441696","SubLeader (ASP.NET, C#, MVC)","Công Ty Cổ Phần ASOFT","17 - 22 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","4 giờ trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-dich-vu-hosting-vps-thu-nhap-len-den-30-trieu-thang-26326136881.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/61333-200x200.jpg?v=1775531541","Nhân Viên Kinh Doanh Dịch Vụ Hosting/VPS (Thu Nhập Lên Đến 30 Triệu/ Tháng)","Công Ty Cổ Phần Giải Pháp Và Công Nghệ Vietnix","10 - 30 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","4 giờ trước"
"https://jobsgo.vn/viec-lam/chuyen-vien-phan-tich-ky-thuat-chuyen-sau-technical-ba-26427721380.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/89492-200x200.jpg?v=1739951062","Chuyên Viên Phân Tích (Kỹ Thuật Chuyên Sâu) - Technical Ba","JobsGO Recruit","Thỏa thuận","Hồ Chí Minh","Full-time","Trên 4 năm","4 giờ trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-dich-vu-hosting-vps-thu-nhap-len-den-30-trieu-thang-26441286801.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/89492-200x200.jpg?v=1739951062","Nhân Viên Kinh Doanh Dịch Vụ Hosting/VPS (Thu Nhập Lên Đến 30 Triệu/ Tháng)","JobsGO Recruit","10 - 30 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","4 giờ trước"
"https://jobsgo.vn/viec-lam/bien-phien-dich-it-tieng-nhat-n2-thu-duc-26643125057.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/6540-200x200.jpg?v=1733132892","Biên Phiên Dịch IT - Tiếng Nhật N2 - Thủ Đức","Công Ty Cổ Phần Kết Nối Nhân Lực Worklink Việt Nam","15 - 18 triệu VNĐ","Hồ Chí Minh","Full-time","1 - 3 năm","4 giờ trước"
"https://jobsgo.vn/viec-lam/it-sales-intern-25650500157.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/57042-200x200.jpg?v=1614829059","IT Sales Intern","Công Ty TNHH Terralogic","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","10 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-business-solution-25793717870.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/9863-200x200.jpg?v=1770629420","Thực Tập Sinh Business Solution","Top On Seek (Tos) Ltd","3 - 3 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","10 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-tu-van-ho-tro-trien-khai-phan-mem-website-25799135891.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/344374-200x200.jpg?v=1757384461","Thực Tập Sinh Tư Vấn Hỗ Trợ Triển Khai Phần Mềm/ Website","Công Ty TNHH Công Nghệ Phần Mềm Nasani","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","10 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-tu-van-trien-khai-phan-mem-haraworks-25804037910.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/127590-200x200.jpg?v=1730360857","Thực Tập Sinh Tư Vấn Triển Khai Phần Mềm Haraworks","Công Ty Cổ Phần Seedcom Food","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","10 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-ke-toan-26126960109.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/116729-200x200.jpg?v=1729073315","Thực Tập Sinh Kế Toán","Công Ty Cổ Phần Maycha","2 - 3 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","10 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-phan-mem-ung-dung-cong-nghe-technology-application-software-internship-cong-ty-cmt-dragon-26380330670.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/251402-200x200.jpg?v=1728978684","Thực Tập Sinh Phần Mềm Ứng Dụng Công Nghệ - Technology Application Software Internship - Công Ty Cmt - Dragon","Công Ty TNHH CMT-Dragon","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","10 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-it-phan-cung-26450697048.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/236567-200x200.jpg?v=1776053942","Thực Tập Sinh IT (Phần Cứng)","Công Ty Cổ Phần Công Nghệ Himalaya","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","10 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-phan-tich-va-trien-khai-nghiep-vu-26458328446.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/178001-200x200.jpg?v=1719305844","Thực Tập Sinh Phân Tích Và Triển Khai Nghiệp Vụ","Công Ty TNHH 1 Thành Viên Isofhcare","Đến 4 triệu VNĐ","Hồ Chí Minh, Hà Nội","Full-time","Không yêu cầu","10 giờ trước"
"https://jobsgo.vn/viec-lam/remote-thuc-tap-sinh-kinh-doanh-cong-ty-tnhh-genx-pk-story-26570423091.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/483376-200x200.jpg?v=1776237720","[Remote] - Thực tập sinh Kinh doanh - Công Ty TNHH GenX PK Story","Công Ty TNHH Genx Pk Story","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","10 giờ trước"
"https://jobsgo.vn/viec-lam/intern-it-26125602209.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/82491-200x200.jpg?v=1655435909","Intern IT","Công Ty Cổ Phần Công Nghệ QI - Qi Technologies","2 - 5 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 1 năm","10 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-ba-business-analyst-26189640773.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/117618-200x200.jpg?v=1766636270","Thực Tập Sinh BA (Business Analyst)","Công Ty TNHH Công Nghệ Số Nam Phương","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","10 giờ trước"
"https://jobsgo.vn/viec-lam/livestream-talent-host-live-part-time-26236841377.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/257046-200x200.jpg?v=1776225866","Livestream Talent – Host Live (Part - Time)","Công Ty Tnhh Kakaonline","Thỏa thuận","Hồ Chí Minh","Part-time","Không yêu cầu","10 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-phan-tich-du-lieu-data-analyst-internship-26380208459.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/251402-200x200.jpg?v=1728978684","Thực Tập Sinh Phân Tích Dữ Liệu - Data Analyst Internship","Công Ty TNHH CMT-Dragon","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","10 giờ trước"
"https://jobsgo.vn/viec-lam/nhan-vien-ky-thuat-bao-hanh-di-lam-ngay-26408819412.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/44667-200x200.jpg?v=1673580887","Nhân Viên Kỹ Thuật Bảo Hành (Đi Làm Ngay)","Công TY Cổ Phần Thương Mại Mê Kông","8 - 10 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","10 giờ trước"
"https://jobsgo.vn/viec-lam/relationship-manager-rm-26535484324.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/483709-200x200.jpg?v=1776324687","Relationship Manager (RM)","Ngân Hàng Thương Mại Trách Nhiệm Hữu Hạn E.sun - Chi Nhánh Đồng Nai","Đến 20 triệu VNĐ","Hồ Chí Minh, Hà Nội","Full-time","Dưới 5 năm","10 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-cong-nghe-thong-tin-co-luong-dao-tao-26557346514.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/474462-200x200.jpg?v=1772525083","Thực Tập Sinh Công Nghệ Thông Tin (Có Lương + Đào Tạo)","Công Ty TNHH Công Nghệ Phần Mềm Nasani","4 - 10 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 5 năm","10 giờ trước"
"https://jobsgo.vn/viec-lam/hcm-ai-video-production-intern-thuc-tap-sinh-sang-tao-video-ai-26579127230.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/392706-200x200.jpg?v=1765269459","[HCM] AI Video Production Intern (Thực Tập Sinh Sáng Tạo Video AI)","Công Ty TNHH Tư Vấn Và Đầu Tư Lemon","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","10 giờ trước"
"https://jobsgo.vn/viec-lam/tts-trien-khai-website-phan-mem-co-ho-tro-moc-va-luong-26634380181.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/482735-200x200.jpg?v=1776065485","TTS Triển Khai Website/Phần mềm (Có Hỗ Trợ Mộc Và Lương)","Công Ty TNHH Công Nghệ Phần Mềm Nasani","Đến 20 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","10 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-du-lieu-bao-cao-26278705434.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/187097-200x200.jpg?v=1716868877","Thực Tập Sinh Dữ Liệu (Báo Cáo)","Công Ty Cổ Phần Giải Pháp Dệt May Bền Vững","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/ai-quantitative-researcher-intern-26297525928.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/84814-200x200.jpg?v=1770707312","AI Quantitative Researcher Intern","Công Ty Cổ Phần Đầu Tư Finpros","3 - 4 triệu VNĐ","Hồ Chí Minh, Hà Nội","Part-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-ai-26323937083.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/992-200x200.jpg?v=1688441696","Thực Tập Sinh AI","Công Ty Cổ Phần ASOFT","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-digital-marketing-ho-tro-kinh-doanh-hcm-26377764239.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/17568-200x200.jpg?v=1590132356","Thực Tập Sinh Digital Marketing/Hỗ Trợ Kinh Doanh [HCM]","Công Ty TNHH Thương Mại Điện Tử Net Group","Thỏa thuận","Hồ Chí Minh","Part-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/odoo-ba-intern-26475736724.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/95875-200x200.jpg?v=1772606859","Odoo BA Intern","Công Ty TNHH HIPTECH","Thỏa thuận","Hồ Chí Minh","Part-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-business-analyst-ba-fulltime-26522231220.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/367240-200x200.jpg?v=1759910454","Thực Tập Sinh Business Analyst (BA) Fulltime","Công Ty TNHH Công Nghệ Phần Mềm Nasani","4 - 20 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/php-developer-intern-26637530509.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/54811-200x200.jpg?v=1700465753","PHP Developer Intern","Công Ty TNHH Lửa Á Châu","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-marketing-cntt-qtkd-co-ho-tro-moc-luong-26675470235.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/482735-200x200.jpg?v=1776065485","Thực Tập Sinh Marketing/CNTT/QTKD - Có Hỗ Trợ Mộc Lương","Công Ty TNHH Công Nghệ Phần Mềm Nasani","Đến 20 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 5 năm","11 giờ trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-digital-marketing-25832594547.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/90886-200x200.jpg?v=1659083461","Nhân Viên Kinh Doanh Digital Marketing","Công Ty TNHH Grande Media","6 - 12 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 1 năm","11 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-kinh-doanh-26216907405.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/27747-200x200.jpg?v=1573870153","Thực Tập Sinh Kinh Doanh","Công Ty CP Đầu Tư Thương Mại Và Phát Triển Công Nghệ FSI - Hồ Chí Minh","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-phan-mem-ung-dung-cong-nghe-26228979136.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/251402-200x200.jpg?v=1728978684","Thực Tập Sinh Phần Mềm Ứng Dụng Công Nghệ","Công Ty TNHH CMT-Dragon","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-cong-nghe-thong-tin-26373011589.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/1296-200x200.jpg?v=1769757323","Thực Tập Sinh Công Nghệ Thông Tin","TMA Solutions","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/it-support-intern-thuc-tap-sinh-it-support-26399653587.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/119627-200x200.jpg?v=1753238482","IT Support Intern - Thực Tập Sinh IT Support","CALIFORNIA FITNESS & YOGA","Thỏa thuận","Hồ Chí Minh","Part-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-van-hanh-sale-sale-operation-intern-26411073526.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/91408-200x200.jpg?v=1705630734","Thực Tập Sinh Vận Hành Sale (Sale Operation Intern)","Công Ty TNHH Thương Mại Ứng Dụng Dược Mỹ Phẩm Công Nghệ Cao Mocha","Từ 3 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/chuyen-vien-trien-khai-phan-mem-doanh-nghiep-fresher-26417021128.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/285532-200x200.jpg?v=1743563177","Chuyên Viên Triển Khai Phần Mềm Doanh Nghiệp (Fresher)","Công Ty Cổ Phần Misa","Từ 9 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-kinh-doanh-phan-mem-26577701435.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/328380-200x200.jpg?v=1753091354","Thực Tập Sinh Kinh Doanh Phần Mềm","Công Ty Cổ Phần An Ninh Mạng 405cyse","2 - 4 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/chuyen-vien-kinh-doanh-phan-mem-luong-cung-tu-12-trieu-26409769942.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/460297-200x200.jpg?v=1771822110","Chuyên Viên Kinh Doanh Phần Mềm (Lương Cứng Từ 12 Triệu)","CÔNG TY CỔ PHẦN CÔNG NGHỆ GETFLY VIỆT NAM","30 - 100 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 2 năm","11 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-account-26555920719.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/483897-200x200.jpg?v=1776419190","Thực Tập Sinh Account","Công Ty TNHH Net Agent","Đến 20 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-kiem-thu-phan-mem-26629288056.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/1820-200x200.jpg?v=1675051922","Thực Tập Sinh Kiểm Thử Phần Mềm","Công ty TNHH W2Solution Việt Nam","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/business-solution-intern-26733696987.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/9863-200x200.jpg?v=1770629420","Business Solution Intern","Top On Seek (Tos) Ltd","3 - 3 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","11 giờ trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-go-vap-luong-co-ban-11-trieu-hoa-hong-phuc-loi-cao-ho-tro-thang-tien-25932345881.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/35764-200x200.jpg?v=1766052404","Nhân Viên Kinh Doanh Phần Mềm - Gò Vấp - Lương Cơ Bản 11 Triệu + Hoa Hồng + Phúc Lợi Cao + Hỗ Trợ Thăng Tiến","Công Ty TNHH VTTech","8 - 10 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","11 giờ trước"
